date,vehicle_category,day_of_week,month,is_weekend,is_holiday,weather,season,competitor_base_price,utilization_rate,rental_duration_days,daily_rental_price
2022-08-17,Economy,Wednesday,8,0,0,Rainy,Summer,31.28,63.1,2,43.62
2022-10-13,Minivan,Thursday,10,0,0,Sunny,Fall,64.24,75.6,5,79.23
2022-06-28,Luxury,Tuesday,6,0,1,Cloudy,Summer,116.69,84.9,1,175.86
2023-03-24,Compact,Friday,3,1,0,Cloudy,Spring,38.75,79.8,1,54.63
2023-02-12,Minivan,Sunday,2,1,0,Rainy,Winter,67.76,78.5,4,69.19
2023-03-28,SUV,Tuesday,3,0,0,Cloudy,Spring,76.83,60.1,6,90.99
2022-01-14,Pickup,Friday,1,1,0,Stormy,Winter,72.6,76.4,5,81.99
2023-11-28,Midsize,Tuesday,11,0,0,Sunny,Fall,55.05,56.8,14,66.48
2023-11-21,Economy,Tuesday,11,0,0,Sunny,Fall,32.66,56.4,1,45.73
2023-12-06,Luxury,Wednesday,12,0,0,Sunny,Winter,118.52,64.2,1,154.28
2024-07-29,Luxury,Monday,7,0,0,Sunny,Summer,119.1,67.7,14,154.2
2022-06-11,Luxury,Saturday,6,1,0,Sunny,Summer,137.84,96.6,4,188.51
2024-01-11,Luxury,Thursday,1,0,0,Sunny,Winter,123.62,94.7,1,159.37
2023-04-12,Pickup,Wednesday,4,0,0,Sunny,Spring,68.91,71.9,1,88.04
2023-04-22,Pickup,Saturday,4,1,1,Sunny,Spring,67.6,92.6,2,127.8
2024-01-18,Compact,Thursday,1,0,0,Cloudy,Winter,39.43,68.8,2,60.75
2023-07-01,Minivan,Saturday,7,1,0,Snowy,Summer,65.83,81.0,4,116.91
2022-12-17,Luxury,Saturday,12,1,0,Rainy,Winter,135.29,80.8,1,159.52
2024-02-17,Midsize,Saturday,2,1,0,Foggy,Winter,49.86,79.7,4,69.11
2023-03-26,Minivan,Sunday,3,1,0,Sunny,Spring,71.54,72.5,6,95.15
2022-04-25,Compact,Monday,4,0,0,Stormy,Spring,43.95,53.9,6,45.43
2024-04-01,Midsize,Monday,4,0,0,Sunny,Spring,50.45,57.1,14,67.09
2023-10-07,Compact,Saturday,10,1,0,Rainy,Fall,42.93,81.7,3,55.38
2024-07-28,Compact,Sunday,7,1,0,Sunny,Summer,40.96,89.3,2,71.23
2023-06-23,Minivan,Friday,6,1,0,Cloudy,Summer,71.95,96.9,7,96.76
2024-03-28,Midsize,Thursday,3,0,0,Sunny,Spring,54.84,48.3,30,77.72
2024-11-09,SUV,Saturday,11,1,1,Sunny,Fall,75.09,80.1,1,144.47
2022-08-13,Compact,Saturday,8,1,0,Rainy,Summer,41.24,88.2,6,66.45
2024-05-14,Luxury,Tuesday,5,0,0,Sunny,Spring,125.97,54.9,3,133.69
2024-08-16,Luxury,Friday,8,1,0,Sunny,Summer,118.03,78.5,4,180.23
2022-01-24,Minivan,Monday,1,0,0,Rainy,Winter,74.1,73.0,5,75.47
2023-07-01,Pickup,Saturday,7,1,0,Rainy,Summer,78.25,85.8,1,103.36
2024-06-09,Compact,Sunday,6,1,0,Cloudy,Summer,44.18,97.4,14,68.65
2023-06-24,Luxury,Saturday,6,1,0,Rainy,Summer,137.53,84.4,3,163.07
2022-08-06,Pickup,Saturday,8,1,0,Rainy,Summer,69.5,100.0,7,100.55
2024-11-05,Luxury,Tuesday,11,0,0,Sunny,Fall,136.69,61.2,2,130.27
2022-11-27,Luxury,Sunday,11,1,0,Foggy,Fall,126.13,68.8,14,124.65
2022-01-02,Luxury,Sunday,1,1,0,Sunny,Winter,124.24,81.5,1,178.77
2024-01-14,Pickup,Sunday,1,1,0,Stormy,Winter,73.46,75.3,2,86.17
2023-05-09,Luxury,Tuesday,5,0,0,Snowy,Spring,139.33,45.8,1,139.49
2024-09-22,Pickup,Sunday,9,1,0,Sunny,Fall,70.27,72.8,6,93.87
2022-09-15,Compact,Thursday,9,0,0,Rainy,Fall,41.2,61.5,14,46.7
2022-12-05,Midsize,Monday,12,0,0,Cloudy,Winter,51.28,71.7,4,68.97
2023-03-10,Luxury,Friday,3,1,0,Rainy,Spring,121.96,87.0,5,144.74
2023-10-01,SUV,Sunday,10,1,0,Foggy,Fall,78.34,65.6,4,95.13
2024-06-16,Luxury,Sunday,6,1,0,Cloudy,Summer,131.25,91.1,2,179.03
2022-05-12,Midsize,Thursday,5,0,0,Sunny,Spring,50.72,59.1,4,71.27
2023-03-28,Economy,Tuesday,3,0,0,Sunny,Spring,30.16,68.1,4,44.89
2023-04-14,Economy,Friday,4,1,0,Snowy,Spring,33.08,78.0,7,56.19
2022-05-26,Luxury,Thursday,5,0,0,Sunny,Spring,121.59,54.5,5,136.6
2023-03-15,Luxury,Wednesday,3,0,0,Sunny,Spring,132.64,71.0,14,140.81
2024-08-26,Compact,Monday,8,0,0,Rainy,Summer,38.4,65.7,6,51.04
2023-01-25,Economy,Wednesday,1,0,0,Sunny,Winter,34.55,66.1,3,49.76
2024-05-17,SUV,Friday,5,1,0,Cloudy,Spring,84.8,72.6,5,105.46
2022-07-21,Economy,Thursday,7,0,0,Cloudy,Summer,32.2,73.0,2,47.79
2022-08-12,Compact,Friday,8,1,0,Sunny,Summer,44.21,87.0,4,74.99
2022-10-15,SUV,Saturday,10,1,0,Sunny,Fall,79.89,85.4,3,112.39
2022-06-04,SUV,Saturday,6,1,0,Stormy,Summer,88.43,92.0,7,103.81
2022-07-20,Economy,Wednesday,7,0,0,Rainy,Summer,32.87,73.8,4,45.47
2022-01-31,Economy,Monday,1,0,0,Snowy,Winter,29.1,71.3,7,48.42
2022-12-07,SUV,Wednesday,12,0,0,Cloudy,Winter,74.78,70.4,2,94.07
2024-04-01,Economy,Monday,4,0,0,Sunny,Spring,33.17,56.5,1,48.04
2024-03-10,Midsize,Sunday,3,1,0,Snowy,Spring,57.06,73.2,6,87.12
2023-08-08,SUV,Tuesday,8,0,0,Rainy,Summer,86.12,81.1,5,97.72
2024-09-23,Compact,Monday,9,0,0,Sunny,Fall,42.38,53.1,2,51.54
2022-04-30,Luxury,Saturday,4,1,0,Rainy,Spring,124.95,75.4,1,147.68
2023-10-05,Economy,Thursday,10,0,0,Sunny,Fall,34.84,70.0,3,42.82
2024-12-23,Compact,Monday,12,0,0,Sunny,Winter,42.18,69.1,3,63.77
2023-01-16,Economy,Monday,1,0,0,Cloudy,Winter,32.48,57.7,5,44.15
2023-04-27,SUV,Thursday,4,0,0,Sunny,Spring,85.75,60.7,7,108.34
2023-05-20,Luxury,Saturday,5,1,0,Cloudy,Spring,138.58,74.0,4,151.34
2024-05-08,Minivan,Wednesday,5,0,0,Cloudy,Spring,74.57,53.2,3,62.2
2023-06-19,Compact,Monday,6,0,0,Rainy,Summer,43.86,64.6,2,50.37
2023-06-28,SUV,Wednesday,6,0,1,Sunny,Summer,83.22,89.2,4,136.53
2024-07-25,Midsize,Thursday,7,0,0,Snowy,Summer,55.61,77.4,14,84.11
2022-01-20,SUV,Thursday,1,0,0,Rainy,Winter,89.85,72.9,4,90.98
2022-07-24,Economy,Sunday,7,1,0,Cloudy,Summer,34.27,93.4,3,59.17
2022-09-29,Midsize,Thursday,9,0,0,Snowy,Fall,56.97,52.0,7,69.17
2024-01-27,Midsize,Saturday,1,1,0,Sunny,Winter,58.06,88.7,7,94.05
2023-09-12,Luxury,Tuesday,9,0,0,Foggy,Fall,137.94,65.3,6,120.3
2024-12-19,Economy,Thursday,12,0,0,Rainy,Winter,33.8,83.1,4,46.23
2022-08-01,Compact,Monday,8,0,0,Sunny,Summer,43.44,69.5,7,63.89
2022-11-15,Midsize,Tuesday,11,0,0,Sunny,Fall,53.63,62.5,2,63.1
2023-12-04,Compact,Monday,12,0,0,Rainy,Winter,37.62,87.5,7,43.46
2024-11-01,SUV,Friday,11,1,0,Sunny,Fall,79.08,67.5,14,109.24
2022-04-15,Economy,Friday,4,1,0,Rainy,Spring,29.27,74.1,6,49.79
2022-04-01,Economy,Friday,4,1,0,Sunny,Spring,29.81,90.4,1,54.42
2023-06-21,Compact,Wednesday,6,0,0,Rainy,Summer,39.0,66.2,4,52.92
2024-05-25,Luxury,Saturday,5,1,0,Sunny,Spring,117.43,94.1,1,167.1
2022-11-02,Luxury,Wednesday,11,0,0,Sunny,Fall,131.37,43.8,2,129.17
